"","state","jo_ba","jo_da","jo_ds","jo_fa","jo_total"
"1","AL",6,2,11,16,35
"2","AR",6,12,4,6,28
"3","AZ",131,20,14,19,184
"4","CA",223,177,298,242,940
"5","CO",48,38,64,41,191
"6","CT",23,107,13,13,156
"7","DC",244,39,83,133,499
"8","DE",13,13,6,1,33
"9","FL",52,81,105,159,397
"10","GA",142,30,46,55,273
"11","HI",3,1,4,16,24
"12","IA",7,12,4,9,32
"13","ID",4,5,2,1,12
"14","IL",92,58,47,141,338
"15","IN",197,15,4,33,249
"16","KS",25,9,1,5,40
"17","KY",1,7,1,13,22
"18","LA",20,2,2,3,27
"19","MA",145,67,108,66,386
"20","MD",65,39,49,41,194
"21","MI",210,27,14,30,281
"22","MN",45,131,15,128,319
"23","MO",30,24,25,27,106
"24","NA",7,2,7,6,22
"25","NC",27,34,36,160,257
"26","NE",6,3,1,8,18
"27","NJ",245,130,109,62,546
"28","NV",17,6,3,7,33
"29","NY",422,374,100,145,1041
"30","OH",49,148,95,413,705
"31","OK",4,9,6,5,24
"32","OR",12,26,10,138,186
"33","PA",200,87,179,140,606
"34","RI",2,3,4,3,12
"35","SC",16,5,4,9,34
"36","SD",4,2,2,9,17
"37","TN",27,19,14,26,86
"38","TX",100,80,52,135,367
"39","UT",13,16,8,27,64
"40","VA",62,80,156,74,372
"41","WA",52,24,145,100,321
"42","WI",204,21,7,31,263
"43","WV",1,1,2,6,10
