"","state","jo_fa"
"1","OH",413
"2","CA",242
"3","NC",160
"4","FL",159
"5","NY",145
"6","IL",141
"7","PA",140
"8","OR",138
"9","TX",135
"10","DC",133
"11","MN",128
"12","WA",100
"13","VA",74
"14","MA",66
"15","NJ",62
"16","GA",55
"17","CO",41
"18","MD",41
"19","IN",33
"20","WI",31
"21","MI",30
"22","MO",27
"23","UT",27
"24","TN",26
"25","AZ",19
"26","AL",16
"27","HI",16
"28","CT",13
"29","KY",13
"30","IA",9
"31","MT",9
"32","SC",9
"33","SD",9
"34","NE",8
"35","NV",7
"36","AR",6
"37","WV",6
"38",NA,6
"39","KS",5
"40","OK",5
"41","NH",4
"42","LA",3
"43","PR",3
"44","RI",3
"45","MS",2
"46","NM",2
"47","DE",1
"48","ID",1
"49","ND",1
