job,month,medianBasePay
Business Analyst,2019-03-01,65472
Data Analyst,2019-03-01,61139
Data Scientist,2019-03-01,95459
Financial Analyst,2019-03-01,63210
Business Analyst,2019-02-01,65629
Data Analyst,2019-02-01,60820
Data Scientist,2019-02-01,95765
Financial Analyst,2019-02-01,63426
Business Analyst,2019-01-01,66034
Data Analyst,2019-01-01,61290
Data Scientist,2019-01-01,96959
Financial Analyst,2019-01-01,63517
Business Analyst,2018-12-01,65629
Financial Analyst,2018-12-01,64184
Data Scientist,2018-12-01,97417
Data Analyst,2018-12-01,60603
Business Analyst,2018-10-01,65619
Financial Analyst,2018-10-01,64045
Data Scientist,2018-10-01,96720
Data Analyst,2018-10-01,60384
Business Analyst,2018-09-01,65456
Financial Analyst,2018-09-01,63863
Data Scientist,2018-09-01,97194
Data Analyst,2018-09-01,59928
Business Analyst,2018-08-01,65804
Financial Analyst,2018-08-01,64249
Data Scientist,2018-08-01,97364
Data Analyst,2018-08-01,59984
Business Analyst,2018-07-01,65494
Financial Analyst,2018-07-01,63770
Data Scientist,2018-07-01,96855
Data Analyst,2018-07-01,60153
Business Analyst,2018-06-01,65004
Financial Analyst,2018-06-01,63367
Data Scientist,2018-06-01,94912
Data Analyst,2018-06-01,60374
Business Analyst,2018-05-01,64834
Financial Analyst,2018-05-01,63629
Data Scientist,2018-05-01,95278
Data Analyst,2018-05-01,59921
Business Analyst,2018-04-01,65094
Financial Analyst,2018-04-01,63342
Data Scientist,2018-04-01,95879
Data Analyst,2018-04-01,59786
Business Analyst,2018-03-01,65017
Financial Analyst,2018-03-01,62991
Data Scientist,2018-03-01,96257
Data Analyst,2018-03-01,59937
Business Analyst,2018-02-01,64804
Financial Analyst,2018-02-01,62467
Data Scientist,2018-02-01,96337
Data Analyst,2018-02-01,59479
Business Analyst,2018-01-01,64184
Financial Analyst,2018-01-01,62386
Data Scientist,2018-01-01,94489
Data Analyst,2018-01-01,59129
Business Analyst,2017-12-01,64462
Financial Analyst,2017-12-01,62133
Data Scientist,2017-12-01,95713
Data Analyst,2017-12-01,58855
Business Analyst,2017-11-01,63997
Financial Analyst,2017-11-01,62162
Data Scientist,2017-11-01,93562
Data Analyst,2017-11-01,58167
Business Analyst,2017-10-01,63742
Financial Analyst,2017-10-01,61786
Data Scientist,2017-10-01,96441
Data Analyst,2017-10-01,57688
Business Analyst,2017-09-01,64230
Financial Analyst,2017-09-01,62085
Data Scientist,2017-09-01,94615
Data Analyst,2017-09-01,58504
Business Analyst,2017-08-01,64567
Financial Analyst,2017-08-01,62519
Data Scientist,2017-08-01,96823
Data Analyst,2017-08-01,58416
Business Analyst,2017-07-01,64228
Financial Analyst,2017-07-01,61791
Data Scientist,2017-07-01,95217
Data Analyst,2017-07-01,58731
Business Analyst,2017-06-01,64314
Financial Analyst,2017-06-01,62153
Data Scientist,2017-06-01,95297
Data Analyst,2017-06-01,58878
