"","state","job_opening"
"1","NY",422
"2","NJ",245
"3","DC",244
"4","CA",223
"5","MI",210
"6","WI",204
"7","PA",200
"8","IN",197
"9","MA",145
"10","GA",142
"11","AZ",131
"12","TX",100
"13","IL",92
"14","MD",65
"15","VA",62
"16","FL",52
"17","WA",52
"18","OH",49
"19","CO",48
"20","MN",45
"21","MO",30
"22","NC",27
"23","TN",27
"24","KS",25
"25","CT",23
"26","LA",20
"27","NV",17
"28","SC",16
"29","DE",13
"30","UT",13
"31","OR",12
"32","IA",7
"33","NH",7
"34",NA,7
"35","AL",6
"36","AR",6
"37","NE",6
"38","PR",6
"39","MS",5
"40","AF",4
"41","ID",4
"42","OK",4
"43","SD",4
"44","HI",3
"45","ME",2
"46","RI",2
"47","KY",1
"48","MT",1
"49","ND",1
"50","NM",1
"51","VT",1
"52","WV",1
